Timestamp,PlayerID,CPUUsage,MemoryUsage,NetworkSent,NetworkReceived,Importance,ProcessingTime,Mode,TotalErrors
2024-09-30T06:44:29.1295441Z,3,30.822117,22908928,128,64,2,0.0393,1,0
2024-09-30T06:44:29.1324111Z,10,34.746063,22908928,128,32,2,0.0278,1,0
2024-09-30T06:44:29.8442546Z,4,13.70882,22876160,128,32,2,0.0965,1,0
2024-09-30T06:44:29.9969917Z,5,16.669764,22876160,128,16,1,0.054,1,0
2024-09-30T06:44:30.0687620Z,8,23.518112,22876160,128,16,1,0.0417,1,0
2024-09-30T06:44:30.0725910Z,1,14.832828,22876160,128,64,2,0.0315,1,0
2024-09-30T06:44:30.0999705Z,3,15.103557,22876160,128,32,2,0.039,1,0
2024-09-30T06:44:30.1221664Z,6,35.17969,22876160,128,16,1,0.0329,1,0
2024-09-30T06:44:30.1290155Z,9,35.17969,22876160,128,16,1,0.0152,1,0
2024-09-30T06:44:30.1323573Z,2,18.931684,22876160,128,16,1,0.1563,1,0
2024-09-30T06:44:30.1356960Z,10,30.39794,22876160,128,32,2,0.0386,1,0
2024-09-30T06:44:30.1393924Z,7,42.02804,22876160,128,32,2,0.0291,1,0
2024-09-30T06:44:30.8551402Z,4,5.5347643,22978560,128,32,2,0.0381,1,0
2024-09-30T06:44:31.0101386Z,5,8.263492,22978560,128,32,2,0.0469,1,0
2024-09-30T06:44:31.0586656Z,8,16.637617,22978560,128,32,2,0.0343,1,0
2024-09-30T06:44:31.0888445Z,1,22.428234,22978560,128,16,1,0.0323,1,0
2024-09-30T06:44:31.1255890Z,3,21.781326,22978560,128,16,1,0.0416,1,0
2024-09-30T06:44:31.1324323Z,2,29.97156,22978560,128,64,2,0.0575,1,0
2024-09-30T06:44:31.1362938Z,7,27.242832,22978560,128,32,2,0.0477,1,0
2024-09-30T06:44:31.1399339Z,9,18.868708,22978560,128,64,2,0.0228,1,0
2024-09-30T06:44:31.1432407Z,6,13.078089,22978560,128,16,1,0.0269,1,0
2024-09-30T06:44:31.1465843Z,10,34.747993,22978560,128,16,1,0.0257,1,0
2024-09-30T06:44:31.8740846Z,4,31.367517,22978560,128,32,2,0.0872,1,0
2024-09-30T06:44:32.0245316Z,5,34.112167,22978560,128,32,2,0.047,1,0
2024-09-30T06:44:32.0463215Z,8,45.279263,22978560,128,16,1,0.0385,1,0
2024-09-30T06:44:32.1097820Z,1,23.294716,22978560,128,64,2,0.1264,1,0
2024-09-30T06:44:32.1165426Z,3,21.620955,22978560,128,128,3,0.0616,1,0
2024-09-30T06:44:32.1461827Z,2,24.788507,22978560,128,32,2,0.0271,1,0
2024-09-30T06:44:32.1498175Z,7,28.050838,22978560,128,128,3,0.1418,1,0
2024-09-30T06:44:32.1539246Z,9,25.482893,22978560,128,16,1,0.0201,1,0
2024-09-30T06:44:32.1574297Z,10,16.883743,22978560,128,64,2,0.0328,1,0
2024-09-30T06:44:32.1639126Z,6,22.328228,22978560,128,32,2,0.7939,1,0
2024-09-30T06:44:32.8787301Z,4,17.965588,22978560,128,32,2,0.0342,1,0
2024-09-30T06:44:33.0360233Z,5,20.648811,22978560,128,16,1,0.0868,1,0
2024-09-30T06:44:33.0576607Z,8,23.606785,22978560,128,16,1,0.0304,1,0
2024-09-30T06:44:33.1297554Z,1,28.82169,22978560,128,32,2,0.0548,1,0
2024-09-30T06:44:33.1426274Z,3,23.53235,22978560,128,64,2,0.286,1,0
2024-09-30T06:44:33.1488779Z,2,27.21553,22978560,128,64,2,0.0321,1,0
2024-09-30T06:44:33.1556757Z,10,34.943283,22978560,128,16,1,0.0552,1,0
2024-09-30T06:44:33.1622577Z,7,19.309057,22978560,128,32,2,0.0282,1,0
2024-09-30T06:44:33.1660737Z,6,14.094154,22978560,128,32,2,0.0281,1,0
2024-09-30T06:44:33.1695835Z,9,14.094154,22978560,128,16,1,0.0246,1,0
2024-09-30T06:44:33.8998682Z,4,5.4479485,22978560,128,128,3,0.0523,1,0
2024-09-30T06:44:34.0789547Z,5,8.792867,22978560,128,16,1,0.0324,1,0
2024-09-30T06:44:34.0946579Z,1,17.465714,22978560,128,64,2,0.0571,1,0
2024-09-30T06:44:34.1013050Z,8,17.465714,22978560,128,32,2,0.0376,1,0
2024-09-30T06:44:34.1469510Z,3,25.919676,22978560,128,16,1,0.0427,1,0
2024-09-30T06:44:34.1509705Z,2,17.31686,22978560,128,32,2,0.0387,1,0
2024-09-30T06:44:34.1730625Z,6,27.333195,22978560,128,32,2,0.0339,1,0
